full_name,forks,open_issues,watchers,size,has_wiki,has_pages,stars
Anduin2017/HowToCook,10965,466,491,466263,0,1,100124
angular/angular,27220,1152,2951,631402,0,0,100113
pytorch/pytorch,27810,18509,1769,1341646,1,0,99957
neovim/neovim,6900,1927,997,382312,1,0,99704
openai/whisper,12197,122,730,4132,0,0,99618
mtdvio/every-programmer-should-know,8725,24,2026,226,1,0,98939
msitarzewski/agency-agents,16386,139,777,2588,1,0,98731
mui/material-ui,32639,1536,1307,741602,0,0,98356
fastapi/fastapi,9304,207,738,47286,0,0,98269
garrytan/gstack,14618,512,600,99410,1,0,98268
ant-design/ant-design,54614,1371,243,263325,1,1,98055
nvbn/thefuck,3951,433,816,4043,1,0,96987
microsoft/Web-Dev-For-Beginners,15486,60,2662,2204541,1,1,95770
tailwindlabs/tailwindcss,5242,92,668,113407,0,0,95034
rasbt/LLMs-from-scratch,14546,6,788,15832,0,0,94964
ryanmcdermott/clean-code-javascript,12467,123,1725,520,1,0,94347
puppeteer/puppeteer,9418,258,1167,1420931,0,1,94334
browser-use/browser-use,10647,226,432,31171,0,0,94258
iluwatar/java-design-patterns,27370,229,3690,47270,1,0,94001
florinpop17/app-ideas,10434,606,1821,648,1,0,93972
nvm-sh/nvm,10179,380,1062,4130,0,0,93407
hacksider/Deep-Live-Cam,13543,112,550,156131,1,0,93065
deepseek-ai/DeepSeek-R1,11736,40,601,1571,0,0,92012
oven-sh/bun,4566,6924,596,552071,0,0,91568
ruanyf/weekly,4090,7825,3968,7570,1,0,91277
PanJiaChen/vue-element-admin,30497,1385,2158,15433,1,1,90271
storybookjs/storybook,10061,2210,910,1046899,0,0,89919
bitcoin/bitcoin,38977,698,4052,315622,0,0,89114
microsoft/playwright,5712,168,574,235093,0,0,88852
gin-gonic/gin,8609,687,1353,10553,0,0,88518
mermaid-js/mermaid,8978,1670,646,267375,1,1,88094
gohugoio/hugo,8266,233,1080,138803,0,0,88094
ChatGPTNextWeb/NextChat,59712,824,470,20946,0,0,88013
mattpocock/skills,7640,36,591,200,0,0,87707
opencv/opencv,56577,2733,2608,557590,1,0,87505
django/django,33886,430,2229,279551,0,0,87495
home-assistant/core,37493,4107,1330,826476,0,0,87085
punkpeye/awesome-mcp-servers,10318,1464,15,23987,1,0,87017
louislam/uptime-kuma,7859,746,311,37319,1,1,86887
3b1b/manim,7290,492,933,76625,1,1,86879
sveltejs/svelte,4914,1009,862,120626,1,0,86582
microsoft/ML-For-Beginners,20816,7,1061,2227898,1,1,85815
modelcontextprotocol/servers,10723,469,616,29059,0,0,85791
MunGell/awesome-for-beginners,7871,110,1270,951,0,0,85667
astral-sh/uv,3124,2724,165,159371,0,1,85055
laravel/laravel,24725,32,4370,11002,0,0,84281
syncthing/syncthing,5189,386,1043,125431,1,0,84097
macrozheng/mall,29702,14,2205,58736,1,0,83626
realworld-apps/realworld,7607,35,1504,35495,0,1,83449
sherlock-project/sherlock,9727,270,1300,18595,1,0,83422
openai/codex,12061,4410,468,442320,0,0,83188
zed-industries/zed,8524,3063,300,450026,0,0,83046
ByteByteGoHq/system-design-101,9143,61,1034,46759,1,0,82674
DopplerHQ/awesome-interview-questions,9512,48,3,488,1,0,82579
animate-css/animate.css,15996,80,2207,2002,0,1,82534
bregman-arie/devops-exercises,19397,46,1305,8007,1,1,82387
tonsky/FiraCode,3187,427,711,90581,1,0,81621
karpathy/autoresearch,11841,185,628,530,1,0,81446
localsend/localsend,4387,963,317,18065,0,0,81405
Developer-Y/cs-video-courses,11239,4,1995,957,1,0,81351
fighting41love/funNLP,15215,46,1628,174188,1,0,80698
spring-projects/spring-boot,41931,494,3298,215240,1,0,80656
vitejs/vite,8183,732,498,69134,0,0,80652
infiniflow/ragflow,9225,3022,332,120456,0,0,80645
junegunn/fzf,2806,319,393,8491,1,0,80303
vllm-project/vllm,16869,4975,550,202918,0,0,80230
VoltAgent/awesome-design-md,9668,281,336,1705,0,0,80109
nextlevelbuilder/ui-ux-pro-max-skill,8177,151,384,3949,0,0,79491
anuraghazra/github-readme-stats,33361,282,302,7685,0,0,79437
mlabonne/llm-course,9227,78,749,7637,1,0,79393
hoppscotch/hoppscotch,5876,726,501,97242,1,0,79196
doocs/advanced-java,19227,0,2549,34416,0,1,78971
Stirling-Tools/Stirling-PDF,6905,401,233,276839,1,0,78847
netdata/netdata,6439,313,1336,270538,0,0,78834
jesseduffield/lazygit,2835,962,322,153476,1,0,78036
PaddlePaddle/PaddleOCR,10441,207,538,1902933,0,1,77987
d2l-ai/d2l-zh,12300,129,1110,316965,0,0,77875
swisskyrepo/PayloadsAllTheThings,16966,27,1962,23283,0,1,77752
tensorflow/models,45091,1287,2643,660061,1,0,77662
coder/code-server,6675,159,737,54595,0,0,77580
nomic-ai/gpt4all,8330,759,697,44678,1,0,77367
lobehub/lobehub,15194,807,289,747560,0,1,77181
elastic/elasticsearch,25889,5711,2609,1640049,0,0,76715
ventoy/Ventoy,4803,947,694,218541,1,0,76665
MisterBooo/LeetCodeAnimation,13926,21,2513,509807,1,0,76616
FortAwesome/Font-Awesome,12222,329,1339,152168,0,0,76602
TauricResearch/TradingAgents,14862,341,602,4843,1,1,76295
thedotmack/claude-mem,6546,106,274,177066,1,0,76273
sdmg15/Best-websites-a-programmer-should-visit,8569,1010,1,2005,1,1,76062
typicode/json-server,7288,717,980,4258,0,0,75567
nestjs/nest,8310,33,718,483830,1,0,75517
awesomedata/awesome-public-datasets,11465,152,2302,1074,0,0,75445
Z4nzu/hackingtool,8469,108,1427,2486,1,0,75037
dair-ai/Prompt-Engineering-Guide,8079,263,739,82777,1,0,74659
redis/redis,24626,2842,2487,211664,0,0,74392
tesseract-ocr/tesseract,10624,477,1706,53813,1,0,74125
unionlabs/union,3894,193,1604,483745,1,0,74087
grafana/grafana,13896,3569,1246,1753781,0,1,73818
OpenHands/OpenHands,9345,413,439,331885,1,1,73816
vuejs/awesome-vue,9466,68,2065,12488,0,0,73596
openai/openai-cookbook,12422,163,992,890172,0,0,73577
enaqx/awesome-react,7588,31,1485,2580,0,0,73292
ocornut/imgui,11764,1230,1058,127133,1,0,73258
twitter/the-algorithm,13259,512,407,8422,0,0,73220
farion1231/cc-switch,4739,878,137,47511,1,0,73094
CompVis/stable-diffusion,10606,614,570,43676,1,0,73000
apache/superset,17319,1267,1535,944954,1,1,72870
PKUFlyingPig/cs-self-learning,7889,145,350,69980,1,1,72787
python/cpython,34617,9315,1538,820032,0,0,72731
thedaviddias/Front-End-Checklist,6642,4,1430,2926,0,1,72625
abi/screenshot-to-code,8950,122,409,8063,1,0,72611
caddyserver/caddy,4740,249,842,21124,0,0,72518
josephmisiti/awesome-machine-learning,15462,11,3249,2757,0,1,72492
obsproject/obs-studio,9249,1105,1489,80482,1,1,72454
daytonaio/daytona,5570,409,124,139254,1,0,72420
strapi/strapi,9714,731,648,634329,0,0,72193
moby/moby,18950,3783,2807,261463,1,0,71563
pallets/flask,16848,3,2082,11929,0,0,71553
Eugeny/tabby,4021,2670,449,98858,1,1,71372
